DeptCode,Year,Month,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2017,3,receive,1286653486.24,11:40:55 AM,D_MMA
R12_04_LTN,2017,3,receive,1286653486.24,11:40:55 AM,D_MMA
R12_04_LTN,2016,3,receive,472999036.00,3:04:04 PM,D_SSM
R12_04_LTN,2017,3,receive,457328837.00,11:40:55 AM,D_MMA
R12_04_LTN,2017,3,receive,452000000.00,11:40:55 AM,D_MMA
R12_04_LTN,2017,3,receive,318301500.00,11:40:55 AM,D_MMA
R12_04_LTN,2017,6,receive,291163069.00,11:54:05 AM,D_EKTW
R12_04_LTN,2015,3,receive,176958980.00,5:32:10 PM,D_DNS
R12_04_LTN,2015,3,receive,151286576.00,5:32:10 PM,D_DNS
R12_04_LTN,2015,3,receive,144457979.37,5:32:10 PM,D_DNS
R12_04_LTN,2015,3,receive,144457979.37,5:32:10 PM,D_DNS
R12_04_LTN,2016,3,receive,130909515.00,3:04:04 PM,D_SSM
R12_04_LTN,2016,3,receive,128680655.00,3:04:04 PM,D_SSM
R12_04_LTN,2016,3,receive,124231505.00,3:04:04 PM,D_SSM
R12_04_LTN,2014,3,receive,116339594.00,2:24:57 PM,D_DNS
R12_04_LTN,2017,2,receive,112504381.00,11:04:47 AM,D_MMA
R12_04_LTN,2017,3,receive,104084305.00,11:40:55 AM,D_MMA
R12_04_LTN,2016,2,receive,102896000.00,1:28:13 PM,D_SSM
R12_04_LTN,2016,2,receive,102708611.00,1:28:13 PM,D_SSM
R12_04_LTN,2015,12,receive,101718976.00,1:27:18 PM,D_SSM
R12_04_LTN,2013,10,receive,98650403.00,5:37:42 PM,D_DNS
R12_04_LTN,2014,3,receive,97689647.68,2:24:57 PM,D_DNS
R12_04_LTN,2016,3,receive,95924057.70,3:04:04 PM,D_SSM
R12_04_LTN,2016,2,receive,95356310.00,1:28:13 PM,D_SSM
R12_04_LTN,2015,1,receive,94907734.00,3:38:28 PM,D_DNS
R12_04_LTN,2016,3,receive,92384000.00,3:04:04 PM,D_SSM
R12_04_LTN,2014,3,receive,92255919.00,2:24:57 PM,D_DNS
R12_04_LTN,2015,3,receive,86760420.00,5:32:10 PM,D_DNS
R12_04_LTN,2016,2,receive,85220029.00,1:28:13 PM,D_SSM
R12_04_LTN,2016,3,receive,81924057.70,3:04:04 PM,D_SSM
R12_04_LTN,2017,1,receive,76835167.00,2:24:56 PM,D_MMA
R12_04_LTN,2016,1,receive,75091657.00,1:27:44 PM,D_SSM
R12_04_LTN,2016,12,receive,74524524.00,5:07:49 PM,D_MMA
R12_04_LTN,2017,2,receive,72879704.00,11:04:47 AM,D_MMA
R12_04_LTN,2016,3,receive,69176770.00,3:04:04 PM,D_SSM
R12_04_LTN,2015,2,receive,65347008.00,2:08:48 PM,D_DNS
R12_04_LTN,2013,12,receive,62748359.00,11:35:15 AM,D_DNS4
R12_04_LTN,2014,1,receive,62688187.00,5:14:04 PM,D_DNS
R12_04_LTN,2016,1,receive,61446452.00,1:27:44 PM,D_SSM
R12_04_LTN,2014,10,receive,59305000.00,3:26:20 PM,D_DNS
R12_04_LTN,2015,2,receive,57862115.00,2:08:48 PM,D_DNS
R12_04_LTN,2013,12,receive,56138377.00,11:35:15 AM,D_DNS4
R12_04_LTN,2016,1,receive,54297674.00,1:27:44 PM,D_SSM
R12_04_LTN,2017,5,receive,53144468.00,6:37:45 PM,D_MMA
R12_04_LTN,2017,4,receive,52732455.66,4:09:46 PM,D_MMA
R12_04_LTN,2015,1,receive,52689280.00,3:38:28 PM,D_DNS
R12_04_LTN,2016,1,receive,52580718.31,1:27:44 PM,D_SSM
R12_04_LTN,2016,1,receive,52580718.31,1:27:44 PM,D_SSM
R12_04_LTN,2014,2,receive,52237232.00,4:00:40 PM,D_YYS
R12_04_LTN,2016,10,receive,51915097.00,3:59:47 PM,D_MMA
R12_04_LTN,2015,8,receive,51370805.00,1:18:09 PM,D_SSM
R12_04_LTN,2014,1,receive,48108250.18,5:14:04 PM,D_DNS
R12_04_LTN,2017,3,receive,46550000.00,11:40:55 AM,D_MMA
R12_04_LTN,2013,9,receive,46351854.00,5:37:23 PM,D_DNS
R12_04_LTN,2015,12,receive,45430000.00,1:27:18 PM,D_SSM
R12_04_LTN,2015,12,receive,44827436.00,1:27:18 PM,D_SSM
R12_04_LTN,2013,10,receive,44124849.00,5:37:42 PM,D_DNS
R12_04_LTN,2014,12,receive,42726662.72,3:01:23 PM,D_DNS
R12_04_LTN,2014,12,receive,42726662.72,3:01:23 PM,D_DNS
R12_04_LTN,2016,11,receive,42379712.00,4:59:42 PM,D_MMA
R12_04_LTN,2014,1,receive,41159854.00,5:14:04 PM,D_DNS
R12_04_LTN,2016,10,receive,41075000.00,3:59:47 PM,D_MMA
R12_04_LTN,2016,10,receive,40939650.00,3:59:47 PM,D_MMA
R12_04_LTN,2014,11,receive,40428201.00,12:26:18 PM,D_DNS
R12_04_LTN,2014,2,receive,39821814.58,4:00:40 PM,D_YYS
R12_04_LTN,2017,2,receive,39787718.44,11:04:47 AM,D_MMA
R12_04_LTN,2015,10,receive,39621450.00,1:24:31 PM,D_SSM
R12_04_LTN,2015,7,receive,39591103.00,1:13:52 PM,D_SSM
R12_04_LTN,2017,5,receive,39279216.00,6:37:45 PM,D_MMA
R12_04_LTN,2016,11,receive,38676250.00,4:59:42 PM,D_MMA
R12_04_LTN,2014,12,receive,38428015.00,3:01:23 PM,D_DNS
R12_04_LTN,2014,2,receive,37992619.00,4:00:40 PM,D_YYS
R12_04_LTN,2015,8,receive,37624068.30,1:18:09 PM,D_SSM
R12_04_LTN,2015,8,receive,37624068.30,1:18:09 PM,D_SSM
R12_04_LTN,2017,1,receive,37090238.00,2:24:56 PM,D_MMA
R12_04_LTN,2015,2,receive,36490695.53,2:08:48 PM,D_DNS
R12_04_LTN,2015,2,receive,36490695.53,2:08:48 PM,D_DNS
R12_04_LTN,2013,8,receive,35390250.00,2:31:53 PM,D_DNS
R12_04_LTN,2016,3,receive,35353892.40,3:04:04 PM,D_SSM
R12_04_LTN,2014,1,receive,35325000.00,5:14:04 PM,D_DNS
R12_04_LTN,2013,12,receive,34856137.21,11:35:15 AM,D_DNS4
R12_04_LTN,2016,12,receive,34497360.00,5:07:49 PM,D_MMA
R12_04_LTN,2015,9,receive,34181626.00,1:18:41 PM,D_SSM
R12_04_LTN,2017,2,receive,33637718.44,11:04:47 AM,D_MMA
R12_04_LTN,2013,11,receive,33511262.00,5:38:08 PM,D_DNS
R12_04_LTN,2016,9,receive,33373650.00,2:15:24 PM,D_MMA
R12_04_LTN,2013,6,receive,33039330.00,2:26:40 PM,D_DNS
R12_04_LTN,2015,10,receive,33008284.00,1:24:31 PM,D_SSM
R12_04_LTN,2013,9,receive,30976514.00,5:37:23 PM,D_DNS
R12_04_LTN,2014,12,receive,30501354.00,3:01:23 PM,D_DNS
R12_04_LTN,2016,9,receive,30389314.54,2:15:24 PM,D_MMA
R12_04_LTN,2016,9,receive,30389314.54,2:15:24 PM,D_MMA
R12_04_LTN,2014,9,receive,30125155.00,1:07:56 PM,D_DNS
R12_04_LTN,2014,10,receive,30009456.46,3:26:20 PM,D_DNS
R12_04_LTN,2014,10,receive,29986581.46,3:26:20 PM,D_DNS
R12_04_LTN,2016,3,receive,28954317.45,3:04:04 PM,D_SSM
R12_04_LTN,2014,9,receive,28718764.00,1:07:56 PM,D_DNS
R12_04_LTN,2016,9,receive,28479120.00,2:15:24 PM,D_MMA
R12_04_LTN,2014,6,receive,28401025.00,3:15:52 PM,D_DNS
R12_04_LTN,2014,10,receive,27375427.00,3:26:20 PM,D_DNS
R12_04_LTN,2014,10,receive,27360170.00,3:26:20 PM,D_DNS
R12_04_LTN,2015,1,receive,26771649.97,3:38:28 PM,D_DNS
R12_04_LTN,2015,1,receive,26771649.97,3:38:28 PM,D_DNS
R12_04_LTN,2015,6,receive,26521800.00,1:11:07 PM,D_SSM
R12_04_LTN,2013,11,receive,26341665.00,5:38:08 PM,D_DNS
R12_04_LTN,2015,1,receive,26190000.00,3:38:28 PM,D_DNS
R12_04_LTN,2013,8,receive,26071658.00,2:31:53 PM,D_DNS
R12_04_LTN,2014,12,receive,25947750.00,3:01:23 PM,D_DNS
R12_04_LTN,2017,3,receive,24194693.00,11:40:55 AM,D_MMA
R12_04_LTN,2016,10,receive,24076285.00,3:59:47 PM,D_MMA
R12_04_LTN,2016,2,receive,23841303.58,1:28:13 PM,D_SSM
R12_04_LTN,2016,2,receive,23841303.58,1:28:13 PM,D_SSM
R12_04_LTN,2013,7,receive,23520000.00,2:27:58 PM,D_DNS
R12_04_LTN,2015,11,receive,22655000.00,1:26:50 PM,D_SSM
R12_04_LTN,2015,5,receive,22337618.00,11:47:16 AM,D_SSM
R12_04_LTN,2014,6,receive,21851550.00,3:15:52 PM,D_DNS
R12_04_LTN,2014,10,receive,21366160.00,3:26:20 PM,D_DNS
R12_04_LTN,2015,12,receive,21245131.54,1:27:18 PM,D_SSM
R12_04_LTN,2015,12,receive,21245131.54,1:27:18 PM,D_SSM
R12_04_LTN,2013,7,receive,20863356.00,2:27:58 PM,D_DNS
R12_04_LTN,2014,1,receive,20419395.00,5:14:04 PM,D_DNS
R12_04_LTN,2015,2,receive,20111645.00,2:08:48 PM,D_DNS
R12_04_LTN,2014,4,receive,20020695.00,3:15:12 PM,D_DNS
R12_04_LTN,2017,2,receive,19379265.00,11:04:47 AM,D_MMA
R12_04_LTN,2013,6,receive,19230000.00,2:26:40 PM,D_DNS
R12_04_LTN,2013,6,receive,19230000.00,2:26:40 PM,D_DNS
R12_04_LTN,2014,11,receive,18965177.00,12:26:18 PM,D_DNS
R12_04_LTN,2017,3,receive,18914660.00,11:40:55 AM,D_MMA
R12_04_LTN,2015,3,receive,18862472.63,5:32:10 PM,D_DNS
R12_04_LTN,2013,7,receive,18836714.00,2:27:58 PM,D_DNS
R12_04_LTN,2015,8,receive,18716393.00,1:18:09 PM,D_SSM
R12_04_LTN,2016,8,receive,18534705.00,11:43:35 AM,D_MMA
R12_04_LTN,2016,5,receive,18315000.00,4:24:37 PM,D_MMA
R12_04_LTN,2015,6,receive,18108181.00,1:11:07 PM,D_SSM
R12_04_LTN,2015,9,receive,17975349.00,1:18:41 PM,D_SSM
R12_04_LTN,2015,9,receive,17904976.66,1:18:41 PM,D_SSM
R12_04_LTN,2015,9,receive,17904976.66,1:18:41 PM,D_SSM
R12_04_LTN,2013,8,receive,17832405.00,2:31:53 PM,D_DNS
R12_04_LTN,2017,1,receive,17236680.37,2:24:56 PM,D_MMA
R12_04_LTN,2017,1,receive,17236680.37,2:24:56 PM,D_MMA
R12_04_LTN,2015,11,receive,16812040.00,1:26:50 PM,D_SSM
R12_04_LTN,2015,3,receive,16738373.00,5:32:10 PM,D_DNS
R12_04_LTN,2013,8,receive,16313466.00,2:31:53 PM,D_DNS
R12_04_LTN,2015,7,receive,16287290.00,1:13:52 PM,D_SSM
R12_04_LTN,2013,12,receive,15892500.00,11:35:15 AM,D_DNS4
R12_04_LTN,2015,1,receive,15717195.00,3:38:28 PM,D_DNS
R12_04_LTN,2017,3,receive,15707008.02,11:40:55 AM,D_MMA
R12_04_LTN,2017,3,receive,15654286.00,11:40:55 AM,D_MMA
R12_04_LTN,2017,3,receive,15457143.00,11:40:55 AM,D_MMA
R12_04_LTN,2013,6,receive,14942807.00,2:26:40 PM,D_DNS
R12_04_LTN,2015,5,receive,14544052.00,11:47:16 AM,D_SSM
R12_04_LTN,2016,3,receive,14427206.00,3:04:04 PM,D_SSM
R12_04_LTN,2015,4,receive,14383106.00,11:46:47 AM,D_SSM
R12_04_LTN,2015,10,receive,14255000.00,1:24:31 PM,D_SSM
R12_04_LTN,2016,8,receive,14211239.00,11:43:35 AM,D_MMA
R12_04_LTN,2015,11,receive,14184286.00,1:26:50 PM,D_SSM
R12_04_LTN,2016,3,receive,14000000.00,3:04:04 PM,D_SSM
R12_04_LTN,2014,6,receive,13867326.00,3:15:52 PM,D_DNS
R12_04_LTN,2014,3,receive,13221895.00,2:24:57 PM,D_DNS
R12_04_LTN,2017,4,receive,13182142.00,4:09:46 PM,D_MMA
R12_04_LTN,2013,5,receive,13179070.00,2:21:17 PM,D_DNS
R12_04_LTN,2014,9,receive,13135320.00,1:07:56 PM,D_DNS
R12_04_LTN,2016,10,receive,13094896.38,3:59:47 PM,D_MMA
R12_04_LTN,2016,7,receive,13025749.00,3:54:56 PM,D_MMA
R12_04_LTN,2013,4,receive,12956774.00,3:21:02 PM,D_DNS
R12_04_LTN,2013,8,receive,12840000.00,2:31:53 PM,D_DNS
R12_04_LTN,2016,9,receive,12475000.00,2:15:24 PM,D_MMA
R12_04_LTN,2016,8,receive,12330000.00,11:43:35 AM,D_MMA
R12_04_LTN,2014,8,receive,12324495.00,1:25:23 PM,D_DNS
R12_04_LTN,2017,6,receive,12189550.00,11:54:05 AM,D_EKTW
R12_04_LTN,2017,6,receive,12189550.00,11:54:05 AM,D_EKTW
R12_04_LTN,2014,5,receive,12143314.00,3:15:32 PM,D_DNS
R12_04_LTN,2016,6,receive,12135122.00,1:26:24 PM,D_MMA
R12_04_LTN,2014,3,receive,12103465.00,2:24:57 PM,D_DNS
R12_04_LTN,2014,7,receive,11733140.00,2:22:29 PM,D_DNS
R12_04_LTN,2015,9,receive,11659013.00,1:18:41 PM,D_SSM
R12_04_LTN,2015,11,receive,11235474.50,1:26:50 PM,D_SSM
R12_04_LTN,2015,11,receive,11235474.50,1:26:50 PM,D_SSM
R12_04_LTN,2015,10,receive,11029091.00,1:24:31 PM,D_SSM
R12_04_LTN,2014,5,receive,10939475.00,3:15:32 PM,D_DNS
R12_04_LTN,2014,6,receive,10780600.00,3:15:52 PM,D_DNS
R12_04_LTN,2017,5,receive,10720800.00,6:37:45 PM,D_MMA
R12_04_LTN,2014,5,receive,10705436.00,3:15:32 PM,D_DNS
R12_04_LTN,2014,6,receive,10636536.78,3:15:52 PM,D_DNS
R12_04_LTN,2016,10,receive,10485055.00,3:59:47 PM,D_MMA
R12_04_LTN,2017,6,receive,10470000.00,11:54:05 AM,D_EKTW
R12_04_LTN,2014,4,receive,10392330.00,3:15:12 PM,D_DNS
R12_04_LTN,2016,3,receive,10222787.00,3:04:04 PM,D_SSM
R12_04_LTN,2017,1,receive,10049705.00,2:24:56 PM,D_MMA
R12_04_LTN,2014,2,receive,9975000.00,4:00:40 PM,D_YYS
R12_04_LTN,2014,7,receive,9717056.00,2:22:29 PM,D_DNS
R12_04_LTN,2013,12,receive,9695235.00,11:35:15 AM,D_DNS4
R12_04_LTN,2015,8,receive,9671915.00,1:18:09 PM,D_SSM
R12_04_LTN,2016,2,receive,9544012.00,1:28:13 PM,D_SSM
R12_04_LTN,2017,2,receive,9400330.00,11:04:47 AM,D_MMA
R12_04_LTN,2015,1,receive,9292355.00,3:38:28 PM,D_DNS
R12_04_LTN,2017,2,receive,9191095.00,11:04:47 AM,D_MMA
R12_04_LTN,2014,1,receive,9150000.00,5:14:04 PM,D_DNS
R12_04_LTN,2016,10,receive,9100000.00,3:59:47 PM,D_MMA
R12_04_LTN,2016,7,receive,9070000.00,3:54:56 PM,D_MMA
R12_04_LTN,2016,8,receive,9015000.00,11:43:35 AM,D_MMA
R12_04_LTN,2014,6,receive,9000000.00,3:15:52 PM,D_DNS
R12_04_LTN,2015,12,receive,8955929.00,1:27:18 PM,D_SSM
R12_04_LTN,2015,7,receive,8926859.00,1:13:52 PM,D_SSM
R12_04_LTN,2014,7,receive,8782332.00,2:22:29 PM,D_DNS
R12_04_LTN,2014,2,receive,8737165.00,4:00:40 PM,D_YYS
R12_04_LTN,2015,12,receive,8630965.00,1:27:18 PM,D_SSM
R12_04_LTN,2017,4,receive,8530800.00,4:09:46 PM,D_MMA
R12_04_LTN,2015,7,receive,8502900.00,1:13:52 PM,D_SSM
R12_04_LTN,2016,6,receive,8430000.00,1:26:24 PM,D_MMA
R12_04_LTN,2016,1,receive,8337129.67,1:27:44 PM,D_SSM
R12_04_LTN,2014,11,receive,8330000.00,12:26:18 PM,D_DNS
R12_04_LTN,2013,5,receive,8167731.00,2:21:17 PM,D_DNS
R12_04_LTN,2016,12,receive,8094571.00,5:07:49 PM,D_MMA
R12_04_LTN,2013,11,receive,7952726.45,5:38:08 PM,D_DNS
R12_04_LTN,2017,2,receive,7900000.00,11:04:47 AM,D_MMA
R12_04_LTN,2016,7,receive,7748239.00,3:54:56 PM,D_MMA
R12_04_LTN,2015,10,receive,7745741.25,1:24:31 PM,D_SSM
R12_04_LTN,2015,10,receive,7745741.25,1:24:31 PM,D_SSM
R12_04_LTN,2015,7,receive,7585853.00,1:13:52 PM,D_SSM
R12_04_LTN,2016,11,receive,7566095.00,4:59:42 PM,D_MMA
R12_04_LTN,2016,8,receive,7523732.00,11:43:35 AM,D_MMA
R12_04_LTN,2015,4,receive,7447360.00,11:46:47 AM,D_SSM
R12_04_LTN,2017,2,receive,7440000.00,11:04:47 AM,D_MMA
R12_04_LTN,2017,5,receive,7400000.00,6:37:45 PM,D_MMA
R12_04_LTN,2013,9,receive,7368995.88,5:37:23 PM,D_DNS
R12_04_LTN,2014,8,receive,7349915.00,1:25:23 PM,D_DNS
R12_04_LTN,2014,12,receive,7334145.00,3:01:23 PM,D_DNS
R12_04_LTN,2015,6,receive,7279960.00,1:11:07 PM,D_SSM
R12_04_LTN,2015,6,receive,7279960.00,1:11:07 PM,D_SSM
R12_04_LTN,2014,3,receive,7279608.00,2:24:57 PM,D_DNS
R12_04_LTN,2015,7,receive,7250476.00,1:13:52 PM,D_SSM
R12_04_LTN,2015,3,receive,7218676.00,5:32:10 PM,D_DNS
R12_04_LTN,2015,1,receive,7175571.00,3:38:28 PM,D_DNS
R12_04_LTN,2017,3,receive,7131323.00,11:40:55 AM,D_MMA
R12_04_LTN,2015,11,receive,7067740.00,1:26:50 PM,D_SSM
R12_04_LTN,2017,6,receive,7012281.00,11:54:05 AM,D_EKTW
R12_04_LTN,2015,8,receive,7000000.00,1:18:09 PM,D_SSM
R12_04_LTN,2016,10,receive,7000000.00,3:59:47 PM,D_MMA
R12_04_LTN,2015,2,receive,6956412.00,2:08:48 PM,D_DNS
R12_04_LTN,2016,12,receive,6881428.90,5:07:49 PM,D_MMA
R12_04_LTN,2016,12,receive,6881428.90,5:07:49 PM,D_MMA
R12_04_LTN,2014,4,receive,6727157.00,3:15:12 PM,D_DNS
R12_04_LTN,2014,1,receive,6687924.00,5:14:04 PM,D_DNS
R12_04_LTN,2013,4,receive,6653029.00,3:21:02 PM,D_DNS
R12_04_LTN,2016,2,receive,6603716.00,1:28:13 PM,D_SSM
R12_04_LTN,2013,6,receive,6557100.00,2:26:40 PM,D_DNS
R12_04_LTN,2015,7,receive,6550000.00,1:13:52 PM,D_SSM
R12_04_LTN,2014,3,receive,6543714.00,2:24:57 PM,D_DNS
R12_04_LTN,2014,3,receive,6536469.00,2:24:57 PM,D_DNS
R12_04_LTN,2015,3,receive,6469887.00,5:32:10 PM,D_DNS
R12_04_LTN,2016,2,receive,6447682.00,1:28:13 PM,D_SSM
R12_04_LTN,2014,11,receive,6372365.00,12:26:18 PM,D_DNS
R12_04_LTN,2017,3,receive,6308776.00,11:40:55 AM,D_MMA
R12_04_LTN,2016,9,receive,6291095.00,2:15:24 PM,D_MMA
R12_04_LTN,2015,3,receive,6202386.00,5:32:10 PM,D_DNS
R12_04_LTN,2016,6,receive,6192000.00,1:26:24 PM,D_MMA
R12_04_LTN,2017,1,receive,6182367.00,2:24:56 PM,D_MMA
R12_04_LTN,2017,2,receive,6150000.00,11:04:47 AM,D_MMA
R12_04_LTN,2015,7,receive,6122040.00,1:13:52 PM,D_SSM
R12_04_LTN,2014,9,receive,6120726.98,1:07:56 PM,D_DNS
R12_04_LTN,2016,10,receive,6094896.38,3:59:47 PM,D_MMA
R12_04_LTN,2013,5,receive,6078995.00,2:21:17 PM,D_DNS
R12_04_LTN,2016,11,receive,6070061.40,4:59:42 PM,D_MMA
R12_04_LTN,2014,6,receive,6046172.00,3:15:52 PM,D_DNS
R12_04_LTN,2014,9,receive,6036469.16,1:07:56 PM,D_DNS
R12_04_LTN,2015,2,receive,6021951.00,2:08:48 PM,D_DNS
R12_04_LTN,2015,6,receive,5998205.00,1:11:07 PM,D_SSM
R12_04_LTN,2014,8,receive,5966571.00,1:25:23 PM,D_DNS
R12_04_LTN,2016,7,receive,5902178.00,3:54:56 PM,D_MMA
R12_04_LTN,2015,4,receive,5868015.00,11:46:47 AM,D_SSM
R12_04_LTN,2017,5,receive,5868000.00,6:37:45 PM,D_MMA
R12_04_LTN,2015,8,receive,5858929.34,1:18:09 PM,D_SSM
R12_04_LTN,2013,7,receive,5857723.05,2:27:58 PM,D_DNS
R12_04_LTN,2014,4,receive,5845000.00,3:15:12 PM,D_DNS
R12_04_LTN,2015,4,receive,5820000.00,11:46:47 AM,D_SSM
R12_04_LTN,2014,10,receive,5800000.00,3:26:20 PM,D_DNS
R12_04_LTN,2014,11,receive,5791537.51,12:26:18 PM,D_DNS
R12_04_LTN,2014,11,receive,5791537.51,12:26:18 PM,D_DNS
R12_04_LTN,2017,2,receive,5754450.00,11:04:47 AM,D_MMA
R12_04_LTN,2014,12,receive,5736160.00,3:01:23 PM,D_DNS
R12_04_LTN,2013,11,receive,5722867.00,5:38:08 PM,D_DNS
R12_04_LTN,2016,7,receive,5684541.60,3:54:56 PM,D_MMA
R12_04_LTN,2016,11,receive,5677080.00,4:59:42 PM,D_MMA
R12_04_LTN,2016,1,receive,5647235.00,1:27:44 PM,D_SSM
R12_04_LTN,2013,4,receive,5621935.00,3:21:02 PM,D_DNS
R12_04_LTN,2013,5,receive,5581825.00,2:21:17 PM,D_DNS
R12_04_LTN,2015,3,receive,5575000.00,5:32:10 PM,D_DNS
R12_04_LTN,2017,6,receive,5504760.00,11:54:05 AM,D_EKTW
R12_04_LTN,2017,3,receive,5482691.00,11:40:55 AM,D_MMA
R12_04_LTN,2015,5,receive,5461305.00,11:47:16 AM,D_SSM
R12_04_LTN,2016,2,receive,5454629.00,1:28:13 PM,D_SSM
R12_04_LTN,2016,6,receive,5409953.00,1:26:24 PM,D_MMA
R12_04_LTN,2015,1,receive,5403946.00,3:38:28 PM,D_DNS
R12_04_LTN,2016,11,receive,5273305.00,4:59:42 PM,D_MMA
R12_04_LTN,2017,2,receive,5238700.00,11:04:47 AM,D_MMA
R12_04_LTN,2016,1,receive,5191586.00,1:27:44 PM,D_SSM
R12_04_LTN,2016,8,receive,5176286.00,11:43:35 AM,D_MMA
R12_04_LTN,2016,10,receive,5157215.00,3:59:47 PM,D_MMA
R12_04_LTN,2013,5,receive,5145000.00,2:21:17 PM,D_DNS
R12_04_LTN,2015,12,receive,5142742.00,1:27:18 PM,D_SSM
R12_04_LTN,2016,12,receive,5086564.00,5:07:49 PM,D_MMA
R12_04_LTN,2017,2,receive,4993928.00,11:04:47 AM,D_MMA
R12_04_LTN,2016,11,receive,4904066.00,4:59:42 PM,D_MMA
R12_04_LTN,2017,1,receive,4900000.00,2:24:56 PM,D_MMA
R12_04_LTN,2016,7,receive,4819900.00,3:54:56 PM,D_MMA
R12_04_LTN,2017,2,receive,4816852.00,11:04:47 AM,D_MMA
R12_04_LTN,2014,8,receive,4803326.50,1:25:23 PM,D_DNS
R12_04_LTN,2014,2,receive,4738612.00,4:00:40 PM,D_YYS
R12_04_LTN,2015,8,receive,4697143.00,1:18:09 PM,D_SSM
R12_04_LTN,2013,9,receive,4695000.00,5:37:23 PM,D_DNS
R12_04_LTN,2016,11,receive,4662453.30,4:59:42 PM,D_MMA
R12_04_LTN,2016,11,receive,4662453.30,4:59:42 PM,D_MMA
R12_04_LTN,2016,3,receive,4641645.00,3:04:04 PM,D_SSM
R12_04_LTN,2014,3,receive,4640000.00,2:24:57 PM,D_DNS
R12_04_LTN,2017,1,receive,4632537.00,2:24:56 PM,D_MMA
R12_04_LTN,2015,6,receive,4614447.00,1:11:07 PM,D_SSM
R12_04_LTN,2015,12,receive,4547541.00,1:27:18 PM,D_SSM
R12_04_LTN,2013,7,receive,4530652.84,2:27:58 PM,D_DNS
R12_04_LTN,2016,3,receive,4530000.00,3:04:04 PM,D_SSM
R12_04_LTN,2017,2,receive,4512000.00,11:04:47 AM,D_MMA
R12_04_LTN,2013,12,receive,4464063.00,11:35:15 AM,D_DNS4
R12_04_LTN,2015,2,receive,4430700.00,2:08:48 PM,D_DNS
R12_04_LTN,2014,2,receive,4390164.00,4:00:40 PM,D_YYS
R12_04_LTN,2013,12,receive,4372086.00,11:35:15 AM,D_DNS4
R12_04_LTN,2017,5,receive,4328572.00,6:37:45 PM,D_MMA
